"accountNumber,agentId,totalDiskBytesReadPerSecond (Kbps),totalDiskBytesWrittenPerSecond (Kbps),totalDiskReadOpsPerSecond,totalDiskWriteOpsPerSecond,totalNetworkBytesReadPerSecond (Kbps),totalNetworkBytesWrittenPerSecond (Kbps),totalNumLogicalProcessors,totalNumCores,totalNumCpus,totalNumDisks,totalNumNetworkCards,totalCpuUsagePct,totalDiskSize (GB),totalDiskFreeSize (GB),totalRAM (MB),freeRAM (MB),timestamp"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.71203125,0.0,0.438634,0.1244150390625,0.0823015625,1,1,1,1,1,0.241422,7.809970855712891,6.5532073974609375,985.8359375,798.36328125,2019-07-01 13:15:01"
"702024837763,o-5yldm2lpsv4q2k8wb,17.0509765625,9.47060546875,1.07396,1.20717,0.3654306640625,1.271240234375,1,1,1,1,1,2.04606,7.988262176513672,6.187232971191406,1024.0,526.84765625,2019-08-12 05:45:08"
"702024837763,o-5yldm2lpsv4q2k8wb,0.159484375,4.790068359375,0.00997332,0.651909,0.1774658203125,0.1421123046875,1,1,1,1,1,0.284484,7.988262176513672,6.187206268310547,1024.0,525.62890625,2019-08-12 06:00:10"
"702024837763,o-5yldm2lpsv4q2k8wb,2.323232421875,5.466572265625,0.0741963,0.752251,0.148888671875,0.2054912109375,1,1,1,1,1,0.256498,7.988262176513672,6.186759948730469,1024.0,617.92578125,2019-08-12 09:30:10"
"702024837763,o-5yldm2lpsv4q2k8wb,0.146171875,6.3683203125,0.00442951,0.941248,0.1710390625,0.1376298828125,1,1,1,1,1,0.266747,7.988262176513672,6.186798095703125,1024.0,616.9453125,2019-08-12 09:45:12"
"702024837763,o-5yldm2lpsv4q2k8wb,22.02861328125,644.869140625,0.828036,5.94344,726.8544921875,15.01552734375,1,1,1,1,1,2.23231,7.988262176513672,6.067420959472656,1024.0,626.0,2019-08-12 10:30:03"
"702024837763,o-5yldm2lpsv4q2k8wb,15.17783203125,5.376552734375,0.458805,0.778287,0.1576220703125,0.106962890625,1,1,1,1,1,0.315881,7.988262176513672,6.067436218261719,1024.0,616.05078125,2019-08-12 10:45:05"
"702024837763,o-5yldm2lpsv4q2k8wb,5.744892578125,31.24716796875,0.583959,1.36968,2.353798828125,0.280974609375,1,1,1,1,1,1.02878,7.988262176513672,6.067626953125,1024.0,581.57421875,2019-08-12 10:15:01"
"702024837763,o-5yldm2lpsv4q2k8wb,14.49228515625,283.677734375,1.18147,4.97924,28.4390625,0.781689453125,1,1,1,1,1,3.47558,7.988262176513672,6.0431365966796875,1024.0,581.81640625,2019-08-12 10:00:14"
"702024837763,o-5yldm2lpsv4q2k8wb,1.04662109375,4.9164453125,0.0121958,0.697364,0.134859375,0.0907248046875,1,1,1,1,1,0.255595,7.988262176513672,6.0673828125,1024.0,615.28125,2019-08-12 11:00:07"
"702024837763,o-5yldm2lpsv4q2k8wb,0.1064375,5.779013671875,0.00110872,0.884622,0.18768359375,0.1251923828125,1,1,1,1,1,0.272293,7.988262176513672,6.067226409912109,1024.0,613.296875,2019-08-12 11:45:13"
"702024837763,o-5yldm2lpsv4q2k8wb,1.325380859375,6.3102734375,0.0387881,0.954427,0.197517578125,0.1197080078125,1,1,1,1,1,0.314485,7.988262176513672,6.067474365234375,1024.0,613.55859375,2019-08-12 11:15:09"
"702024837763,o-5yldm2lpsv4q2k8wb,0.1862607421875,6.6752734375,0.00554349,1.00554,0.171712890625,0.1340390625,1,1,1,1,1,0.284519,7.988262176513672,6.067390441894531,1024.0,613.5,2019-08-12 11:30:11"
